,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
1626,"1091 Brixton Lane NEAtlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,15934,0.0,2,1500000
1627,"2760 Lenox Road  Unit: 4Atlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,10276,3600.0,2,1500000
1628,"1756 N Akin Drive NEAtlanta, GA 30345",30345,DeKalb,4.0,4.5,4100.0,0.5,2019,3.0,20666,0.0,2,1500000
1629,"3667 Peachtree Road NE Unit: UNIT 6Atlanta, GA 30319",30319,Fulton,3.0,3.5,2500.0,0.031,2018,,7009,0.0,2,1500000
1630,"3667 Peachtree Road NE Unit: 6Atlanta, GA 30319",30319,Fulton,3.0,3.5,2900.0,0.031,2019,,12145,0.0,2,1500000
1631,"1106 Mantissa Street NWAtlanta, GA 30318",30318,Fulton,6.0,5.0,4771.0,0.3,2024,4.0,3086,0.0,2,1500000
1632,"23 Paces West Drive NWAtlanta, GA 30327",30327,Fulton,3.0,3.0,2688.0,0.062,1929,7.0,8023,0.0,2,1500000
1633,"1030 Rosedale Road NEAtlanta, GA 30306",30306,DeKalb,4.0,3.0,3380.0,,1990,4.0,0,0.0,2,1500000
1634,"1091 Brixton Lane NEAtlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,15934,0.0,2,1500000
1635,"2760 Lenox Road  Unit: 4Atlanta, GA 30324",30324,Fulton,4.0,4.5,3952.0,,2023,3.0,10276,3600.0,2,1500000
1636,"3180 Ferncliff NEAtlanta, GA 30324",30324,Fulton,6.0,5.0,,0.414,2000,4.0,19221,500.0,2,1549000
1637,"5300 New London TraceAtlanta, GA 30327",30327,Fulton,5.0,4.0,4991.0,0.966,1970,3.0,11919,0.0,2,1574000
1638,"672 NE Timm Valley Road NE Unit: AAtlanta, GA 30305",30305,Fulton,6.0,6.5,,,2023,4.0,4354,0.0,2,1575000
1639,"3286 Northside Parkway NW Unit: 1005Atlanta, GA 30327",30327,Fulton,3.0,4.0,4701.0,0.108,2001,7.0,18102,52392.0,2,1575000
1640,"664 NE Timm Valley NE Unit: BAtlanta, GA 30305",30305,Fulton,6.0,6.5,,0.309,2023,3.0,4354,0.0,2,1575000
1641,"664 Timm Valley NEAtlanta, GA 30305",30305,Fulton,6.0,6.5,,0.309,2023,3.0,4354,0.0,2,1575000
1642,"1165 Shepherds Lane NEAtlanta, GA 30324",30324,DeKalb,5.0,5.5,4047.0,0.3,2020,6.0,17117,0.0,2,1575000
1643,"4769 Winters Chapel RoadAtlanta, GA 30360",30360,Gwinnett,3.0,1.0,1209.0,1.04,1955,3.0,3731,0.0,2,1580000
1644,"2987 Northside Drive NWAtlanta, GA 30305",30305,Fulton,3.0,7.5,,0.548,2006,3.0,15576,0.0,2,1599000
1645,"102 Kirkwood Road NEAtlanta, GA 30317",30317,DeKalb,5.0,4.5,3250.0,0.2,2024,7.0,1086,0.0,2,1599900
1646,"2340 Cottage Grove Avenue SEAtlanta, GA 30317",30317,DeKalb,5.0,4.5,3326.0,0.4,2024,7.0,1086,0.0,2,1599900
1647,"2175 James AlleyAtlanta, GA 30345",30345,DeKalb,6.0,4.0,4000.0,0.087,2024,7.0,3731,4020.0,2,1600000
1648,"677 Timm Valley Road NEAtlanta, GA 30305",30305,Fulton,5.0,5.5,5591.0,0.153,2016,,17783,0.0,2,1625000
1649,"3234 Andrews Court NWAtlanta, GA 30305",30305,Fulton,6.0,7.5,5186.0,0.41,1985,,19975,0.0,2,1649900
