,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
799,"1979 Penelope Street NWAtlanta, GA 30314",30314,Fulton,3.0,1.0,1080.0,0.212,1954,,2860,0.0,2,317500,33.7530969,-84.450474
800,"187 Joe Louis Drive NWAtlanta, GA 30314",30314,Fulton,3.0,2.0,,0.248,1950,,2678,0.0,2,317999,33.7592091,-84.4596596
801,"484 Jefferson Chase Street  Unit: 3101Atlanta, GA 30354",30354,Fulton,3.0,2.5,1891.0,0.28,2020,5.0,2619,1860.0,2,318000,33.6655551,-84.38329110000001
802,"170 BoulevardAtlanta, GA 30312",30312,Fulton,1.0,1.0,794.0,0.02,2006,6.0,2135,0.0,2,318000,33.7589582,-84.372441
803,"200 River Vista  Unit: 121Atlanta, GA 30339",30339,Fulton,2.0,2.0,1172.0,0.027,2010,7.0,3437,3780.0,2,318999,33.9011253,-84.4399001
804,"3675 Peachtree Road NE Unit: 58Atlanta, GA 30319",30319,Fulton,2.0,2.0,1090.0,0.025,1960,2.0,1547,4620.0,2,319000,33.8538153,-84.3545129
805,"139 Dahlia Avenue NWAtlanta, GA 30314",30314,Fulton,,,,0.13,2008,,6187,0.0,2,319000,33.7577872,-84.4619148
806,"3577 Lynfield Drive SWAtlanta, GA 30311",30311,Fulton,3.0,2.0,,0.413,1961,3.0,3841,0.0,2,319000,33.7355818,-84.49970689999999
807,"375 NW New Jersey AveAtlanta, GA 30314",30314,Fulton,4.0,2.0,1575.0,0.17,2006,3.0,3620,0.0,2,319000,33.7653834,-84.45568209999999
808,"44 Peachtree Pl Ne  Unit: #1528Atlanta, GA 30309",30309,Fulton,1.0,1.0,768.0,0.018,2006,4.0,2296,0.0,2,319000,33.7808471,-84.38544399999999
809,"2700 Pine Tree Road NE Unit: 2213Atlanta, GA 30324",30324,Fulton,2.0,2.0,,0.026,2000,7.0,1276,4560.0,2,319500,33.8284249,-84.359152
810,"172 SW Haynes Street  Unit: 201Atlanta, GA 30313",30313,Fulton,2.0,1.0,1221.0,,1920,5.0,3469,3600.0,2,319900,33.7491282,-84.3997814
811,"943 Peachtree Street NE Unit: 909Atlanta, GA 30309",30309,Fulton,1.0,1.0,668.0,0.015,2002,4.0,3784,4358.0,2,319900,33.780409,-84.3834589
812,"238 JudyAtlanta, GA 30315",30315,Fulton,4.0,2.0,1814.0,0.277,1955,,2922,0.0,2,319999,33.6846476,-84.3959457
813,"4822 Brookwood PlaceAtlanta, GA 30349",30349,Fulton,3.0,2.5,1456.0,0.433,2004,1.0,195,188.0,2,319999,33.6265391,-84.55103989999999
814,"325 E Paces Ferry Road NE Unit: 1107Atlanta, GA 30305",30305,Fulton,1.0,1.0,,0.02,2004,7.0,3901,4968.0,2,320000,33.8385741,-84.37684759999999
815,"2218 BenidormAtlanta, GA 30349",30349,Fulton,4.0,2.5,2628.0,0.259,2007,2.0,2702,550.0,2,320000,33.573026,-84.4639649
816,"390 17th Street NW Unit: 5009Atlanta, GA 30363",30363,Fulton,2.0,2.0,,0.026,2007,2.0,3816,7704.0,2,320000,33.7903038,-84.3994771
